Species_type,Tissus_type,Tissue_type_PO,Cell_type,Cell_type_PO,Cell_marker_name,Gene_symbol,Gene_id,Gene_id_rap,Protein_name,Protein_id,Marker_resource,PMID,Note_gene_type,Description
Arabidopsis_thaliana,stem,PO0009047,hypocotyl,PO0020100,,BEE1,AT1G18400,,,,Experimental,23763263,Cell-Marker gene,BR enhanced expression 1
Arabidopsis_thaliana,stem,PO0009047,hypocotyl epidermis,PO0005013,,ANNAT1,AT1G35720,,,,Experimental,30018170,Cell-Marker gene,annexin 1
Arabidopsis_thaliana,stem,PO0009047,hypocotyl,PO0020100,,PIN3,AT1G70940,,,,Experimental,30821050,Cell-Marker gene,Auxin efflux carrier family protein
Arabidopsis_thaliana,stem,PO0009047,hypocotyl,PO0020100,,AT1G70990,AT1G70990,,,,Experimental,32333782,Cell-Marker gene,proline-rich family protein
Arabidopsis_thaliana,stem,PO0009047,hypocotyl,PO0020100,,BEE3,AT1G73830,,,,Experimental,23763263,Cell-Marker gene,BR enhanced expression 3
Arabidopsis_thaliana,stem,PO0009047,hypocotyl,PO0020100,,AT1G76640,AT1G76640,,,,Experimental,24033804,Cell-Marker gene,Calcium-binding EF-hand family protein
Arabidopsis_thaliana,stem,PO0009047,hypocotyl,PO0020100,,PIL5,AT2G20180,,,,Experimental,15486102,Cell-Marker gene,phytochrome interacting factor 3-like 5
Arabidopsis_thaliana,stem,PO0009047,hypocotyl,PO0020100,,PIL5,AT2G20180,,,,Experimental,25865500,Cell-Marker gene,phytochrome interacting factor 3-like 5
Arabidopsis_thaliana,stem,PO0009047,hypocotyl,PO0020100,,ATC,AT2G27550,,,,Experimental,22702636,Cell-Marker gene,centroradiali
Arabidopsis_thaliana,stem,PO0009047,hypocotyl epidermis,PO0005013,,AT2G41800,AT2G41800,,,,Experimental,27968989,Cell-Marker gene,"imidazolonepropionase (Protein of unknown function, DUF642)"
Arabidopsis_thaliana,stem,PO0009047,hypocotyl,PO0020100,,PIF4,AT2G43010,,,,Experimental,30352855,Cell-Marker gene,phytochrome interacting factor 4
Arabidopsis_thaliana,stem,PO0009047,stem,PO0009047,,AT2G43120,AT2G43120,,,,Experimental,31625609,Cell-Marker gene,RmlC-like cupins superfamily protein
