#GO	IC	Frequency
GO:0018522	5.755294010100848	1.7567339318155017e-06
GO:1900269	8.473805167236682	3.358882663114035e-09
GO:0060954	8.473805167236682	3.358882663114035e-09
GO:0048159	8.473805167236682	3.358882663114035e-09
GO:0036383	5.828384620727923	1.4846202476162895e-06
GO:0048385	5.49653895480939	3.187579647295219e-06
GO:1901343	4.432965572551343	3.6900684936970784e-05
GO:1903630	6.448499301971912	3.5604156229008767e-07
GO:0072079	5.661560470436314	2.1799148483610086e-06
GO:0090585	8.096728534678988	8.003343652918004e-09
GO:0050676	8.473805167236682	3.358882663114035e-09
GO:1904387	7.432412482078457	3.694770929425438e-08
GO:0021680	5.72639335935026	1.8776154086807454e-06
GO:1902805	6.783609087208169	1.645852504925877e-07
GO:0007373	8.473805167236682	3.358882663114035e-09
GO:0046613	8.473805167236682	3.358882663114035e-09
GO:0018215	7.570715180244739	2.687106130491228e-08
GO:2000963	8.473805167236682	3.358882663114035e-09
GO:0014808	5.941050788244185	1.1453789881218858e-06
GO:0008285	3.7872493303261154	0.00016321146748337405
GO:1903363	8.473805167236682	3.358882663114035e-09
GO:0000792	4.315467532136571	4.836514207395802e-05
GO:0034724	8.415803608070267	3.838808006505121e-09
GO:0075225	8.473805167236682	3.358882663114035e-09
GO:1905298	8.1727751715727	6.71776532622807e-09
GO:0046228	8.1727751715727	6.71776532622807e-09
GO:0035066	5.4786088756395035	3.3219349538197805e-06
GO:0071544	6.710377173673745	1.94815194460614e-07
GO:0120200	5.910653629750361	1.2284185620816387e-06
GO:1903529	8.473805167236682	3.358882663114035e-09
GO:0004855	5.725198902579693	1.8827865943489603e-06
GO:0030384	8.69878852600695	2.000835913229501e-09
GO:0102761	8.69878852600695	2.000835913229501e-09
GO:0030873	8.69878852600695	2.000835913229501e-09
GO:0010707	6.681413477738428	2.0825072511307015e-07
GO:0031041	8.473805167236682	3.358882663114035e-09
GO:0034396	8.473805167236682	3.358882663114035e-09
GO:0097701	8.473805167236682	3.358882663114035e-09
GO:0071242	6.045670373207893	9.001805537145613e-07
GO:0071324	5.9579313235250035	1.1017135135014035e-06
GO:0098668	8.473805167236682	3.358882663114035e-09
GO:0099510	6.465792415614796	3.4214294116224465e-07
GO:1904376	5.358527575840781	4.379982992700701e-06
GO:0090264	6.688475332225916	2.0489184244995612e-07
GO:0102175	7.795698539015007	1.6006687305836008e-08
GO:0004854	4.3864418869760975	4.1073159626775195e-05
GO:0048369	8.473805167236682	3.358882663114035e-09
GO:0036244	6.725617140230482	1.8809742913438595e-07
GO:0019414	8.473805167236682	3.358882663114035e-09
GO:1990336	8.473805167236682	3.358882663114035e-09
GO:0106117	8.473805167236682	3.358882663114035e-09
GO:1904087	8.473805167236682	3.358882663114035e-09
GO:0046135	4.007738691578136	9.823388236543306e-05
GO:0043281	4.329791701450484	4.679595326250473e-05
GO:0043098	7.99668391251702	1.0076647989342104e-08
GO:0042799	4.837792089249755	1.4528069565959405e-05
GO:0060104	8.415803608070267	3.838808006505121e-09
GO:0102706	8.096728534678988	8.003343652918004e-09
GO:0008329	8.69878852600695	2.000835913229501e-09
GO:0016766	8.69878852600695	2.000835913229501e-09
GO:0140090	6.473479244281088	3.361404334225561e-07
GO:0008513	7.999818521670932	1.0004179566147504e-08
GO:0036216	8.473805167236682	3.358882663114035e-09
GO:2001278	7.473805167236683	3.3588826631140344e-08
GO:0102410	8.69878852600695	2.000835913229501e-09
GO:1903423	6.065565201924833	8.598739617571929e-07
GO:0120135	6.496725515694193	3.186210645399251e-07
GO:0001762	6.741411407413714	1.8137966380815786e-07
GO:0022843	3.4901644603289594	0.0003234711404199869
GO:0071821	4.982353814308671	1.0414686121648394e-05
GO:0047385	8.69878852600695	2.000835913229501e-09
GO:0002626	8.473805167236682	3.358882663114035e-09
GO:0045931	4.568333105311979	2.7018852142089294e-05
GO:0051544	8.473805167236682	3.358882663114035e-09
GO:0004487	6.22311733768252	5.982499380556208e-07
GO:0071526	4.09520742778338	8.031424335771968e-05
GO:1990291	8.473805167236682	3.358882663114035e-09
GO:0071098	8.415803608070267	3.838808006505121e-09
GO:0035194	3.4449899973897953	0.00035893020138036576
GO:1903828	4.227183504540695	5.9267484590647144e-05
GO:0015953	8.473805167236682	3.358882663114035e-09
GO:0086094	8.473805167236682	3.358882663114035e-09
GO:2000029	7.359861814929846	4.366547462048245e-08
GO:0001864	8.69878852600695	2.000835913229501e-09
GO:0060352	6.346700368871875	4.5009027685728064e-07
GO:0140868	6.120149316038878	7.583168111139808e-07
GO:0072464	8.473805167236682	3.358882663114035e-09
GO:0002186	8.415803608070267	3.838808006505121e-09
GO:0099560	5.287979807623721	5.152526005216929e-06
GO:0010906	4.454979889232732	3.5076811650899866e-05
GO:0009945	7.432412482078457	3.694770929425438e-08
GO:0032521	8.473805167236682	3.358882663114035e-09
GO:0003700	1.8974578906399224	0.01266316044049515
GO:1904413	8.473805167236682	3.358882663114035e-09
GO:0046494	7.695653916853039	2.0153295978684208e-08
GO:0021902	5.9796505732182395	1.0479713908915788e-06
GO:0034335	3.9289239999102175	0.0001177812068681678
GO:0061390	8.473805167236682	3.358882663114035e-09
GO:0099576	6.269685184580758	5.374212260982455e-07
GO:0033140	6.192771799988955	6.415465886547806e-07
GO:0097492	6.131382486414476	7.389541858850877e-07
GO:0031461	3.4906927209480823	0.00032307792063547753
GO:0004747	3.5260513578422743	0.00029781642234055826
GO:0009975	3.273042426711219	0.0005332827959530588
GO:0015112	4.028329290040061	9.368513996514492e-05
GO:1905419	8.69878852600695	2.000835913229501e-09
GO:0019119	7.443516020903645	3.601504643813102e-08
GO:1903827	8.69878852600695	2.000835913229501e-09
GO:1904563	8.473805167236682	3.358882663114035e-09
GO:0008416	8.473805167236682	3.358882663114035e-09
GO:0070062	4.521044613698375	3.012696523505219e-05
GO:0046938	4.9579313235250035	1.1017135135014034e-05
GO:0004902	8.096728534678988	8.003343652918004e-09
GO:1903815	8.1727751715727	6.71776532622807e-09
GO:0048433	8.473805167236682	3.358882663114035e-09
GO:0050905	4.668848367379191	2.143638915599377e-05
GO:0035036	4.6414240069896415	2.2833684343849207e-05
GO:1904998	6.801707309300965	1.5786748516635963e-07
GO:0002593	8.473805167236682	3.358882663114035e-09
GO:0018792	8.69878852600695	2.000835913229501e-09
GO:0045470	7.058831819265865	8.73309492409649e-08
GO:0072444	8.473805167236682	3.358882663114035e-09
GO:0004915	6.562067958850544	2.741145201124416e-07
GO:0048120	8.69878852600695	2.000835913229501e-09
GO:1905019	8.473805167236682	3.358882663114035e-09
GO:0000356	8.473805167236682	3.358882663114035e-09
GO:0042892	8.473805167236682	3.358882663114035e-09
GO:1902181	7.218532662133376	6.045988793605263e-08
GO:0106239	7.9206372756233066	1.2005015479377005e-08
GO:0006477	4.21715956919223	6.065134424785012e-05
GO:0062223	8.473805167236682	3.358882663114035e-09
GO:0071306	7.570715180244739	2.687106130491228e-08
GO:0070504	8.473805167236682	3.358882663114035e-09
GO:0006936	4.264692463498091	5.436351590250065e-05
GO:1990615	7.336622362022642	4.606569607806146e-08
GO:0080047	7.096728534678988	8.003343652918003e-08
GO:0046226	7.432412482078457	3.694770929425438e-08
GO:0022009	6.145425563797945	7.154420072432894e-07
GO:0047052	7.744546016567625	1.800752321906551e-08
GO:0106266	8.69878852600695	2.000835913229501e-09
GO:0034982	4.811803287846765	1.5423989189019647e-05
GO:0060834	8.473805167236682	3.358882663114035e-09
GO:1904067	7.999818521670932	1.0004179566147504e-08
GO:0071785	8.473805167236682	3.358882663114035e-09
GO:0050785	8.221667271287288	6.0025077396885024e-09
GO:0048200	6.026647135894463	9.404871456719297e-07
GO:2000940	8.473805167236682	3.358882663114035e-09
GO:0003334	5.325819846552878	4.722589024338332e-06
GO:1901060	8.473805167236682	3.358882663114035e-09
GO:0072488	3.36150857064533	0.0004350021759345724
GO:0060485	4.883967224089223	1.306269467685048e-05
GO:1900696	8.473805167236682	3.358882663114035e-09
GO:0008433	8.473805167236682	3.358882663114035e-09
GO:0060040	5.892880191561063	1.2797342946464472e-06
GO:0110113	6.337084600080276	4.6016692484662275e-07
GO:1990098	8.415803608070267	3.838808006505121e-09
GO:1990080	6.999818521670932	1.0004179566147504e-07
GO:0009255	3.9886944530463917	0.00010263737753677556
GO:1904929	7.9206372756233066	1.2005015479377005e-08
GO:0047024	6.35439625232184	4.4218473682371967e-07
GO:0009365	7.461561098630942	3.454927205854609e-08
GO:0010266	6.733442477742439	1.8473854647127192e-07
GO:0051728	6.162051306180929	6.885709459383771e-07
GO:0032254	7.628707127222426	2.3512178641798243e-08
GO:0005891	3.810595561602902	0.00015466941339009783
GO:0021684	8.473805167236682	3.358882663114035e-09
GO:0072266	8.473805167236682	3.358882663114035e-09
GO:0140205	5.76538426710197	1.7163890408512718e-06
GO:0032374	4.886094202217771	1.2998875906251314e-05
GO:0008522	8.473805167236682	3.358882663114035e-09
GO:0098643	8.415803608070267	3.838808006505121e-09
GO:0005186	5.358146148446245	4.383831485885836e-06
GO:0070480	7.5195626577973576	3.0229943968026315e-08
GO:0140931	6.974512656406161	1.0604430340116355e-07
GO:1902773	5.297208242846505	5.04419372054773e-06
GO:0030858	4.9781220996197675	1.0516661618210043e-05
GO:0050051	6.859939435269695	1.3805767801283557e-07
GO:0021895	5.499293474499354	3.167426351316535e-06
GO:0034653	6.093593925525076	8.061318391473684e-07
GO:0071272	7.628707127222426	2.3512178641798243e-08
GO:1900593	8.473805167236682	3.358882663114035e-09
GO:0140203	8.473805167236682	3.358882663114035e-09
GO:0001696	5.364226620332296	4.322881987427762e-06
GO:0045721	4.731080035931984	1.857462112702061e-05
GO:0006660	6.0189603072281725	9.572815589875e-07
GO:0060054	5.824470308524541	1.4980616677488596e-06
GO:0009758	5.100341445604314	7.937039732938463e-06
GO:0015808	5.482579091544188	3.291705009851754e-06
GO:0070348	8.473805167236682	3.358882663114035e-09
GO:2000078	6.478169972639133	3.3252938364828944e-07
GO:1903962	8.69878852600695	2.000835913229501e-09
GO:0035189	5.875474133279393	1.332066378257277e-06
GO:0035687	8.473805167236682	3.358882663114035e-09
GO:0002533	8.473805167236682	3.358882663114035e-09
GO:1904125	8.473805167236682	3.358882663114035e-09
GO:0015067	4.940633904039561	1.146478978280504e-05
GO:0098704	2.7666439313590776	0.001711417894509863
GO:0002349	8.473805167236682	3.358882663114035e-09
GO:0060279	6.253697079196628	5.575745220769297e-07
GO:0005701	6.382379852583317	4.145912647025531e-07
GO:0072247	8.473805167236682	3.358882663114035e-09
GO:1900481	8.473805167236682	3.358882663114035e-09
GO:0072523	3.2937969174701682	0.0005083971210062772
GO:0046054	5.9579313235250035	1.1017135135014035e-06
GO:0042258	8.473805167236682	3.358882663114035e-09
GO:0030920	6.741411407413714	1.8137966380815786e-07
GO:0046984	5.84643931064395	1.4241662491603507e-06
GO:0008516	7.69878852600695	2.0008359132295007e-08
GO:2000702	6.749529297635894	1.7802078114504383e-07
GO:0047317	8.69878852600695	2.000835913229501e-09
GO:0009223	3.812200690176069	0.00015409881881834567
GO:0010063	7.297713908181001	5.038323994671052e-08
GO:0007368	4.446088705027692	3.5802330306132496e-05
GO:0015609	8.473805167236682	3.358882663114035e-09
GO:0046647	8.473805167236682	3.358882663114035e-09
GO:0090480	5.656901327861022	2.203427027002807e-06
GO:1903710	6.473805167236683	3.358882663114035e-07
GO:0098977	6.420726723753263	3.795537409318859e-07
GO:0045529	8.473805167236682	3.358882663114035e-09
GO:0010068	7.131382486414476	7.389541858850876e-08
GO:0102677	8.69878852600695	2.000835913229501e-09
GO:0003130	6.3124371650017075	4.87037986151535e-07
GO:0030957	6.059302036738364	8.723644581680624e-07
GO:0009085	2.4014695959283108	0.003967623044798181
GO:0036148	6.391019796920233	4.064248022367982e-07
GO:0048715	5.709629034846352	1.9515108272692543e-06
GO:1903397	8.473805167236682	3.358882663114035e-09
GO:1903413	6.272408042916231	5.340623434351315e-07
GO:1905922	8.473805167236682	3.358882663114035e-09
GO:0070662	6.177139976975152	6.650587672965789e-07
GO:1900184	8.473805167236682	3.358882663114035e-09
GO:0032789	6.942326250194427	1.1420201054587717e-07
GO:0010278	8.415803608070267	3.838808006505121e-09
GO:0014024	8.415803608070267	3.838808006505121e-09
GO:0050252	5.704911611065739	1.9728242104442878e-06
GO:0016716	5.140560104203625	7.235022662237875e-06
GO:0052866	3.93194457307349	0.00011696486581557016
GO:0033388	4.914377367477193	1.217930853645149e-05
GO:1902686	5.599903569372221	2.512444232009298e-06
GO:0042542	4.611077638918708	2.4486254614101313e-05
GO:0033745	5.15224586252882	7.042942414567843e-06
GO:1902492	7.99668391251702	1.0076647989342104e-08
GO:0140275	7.269675572392029	5.37433120910717e-08
GO:0009356	7.813743616742305	1.5355232026020484e-08
GO:0102199	7.744546016567625	1.800752321906551e-08
GO:1903008	4.0536513067620845	8.837892063185647e-05
GO:0010598	5.189461520906637	6.464552682954624e-06
GO:0035801	6.801707309300965	1.5786748516635963e-07
GO:0031600	8.415803608070267	3.838808006505121e-09
GO:0032288	5.73423282278659	1.8440265820496051e-06
GO:0004696	8.473805167236682	3.358882663114035e-09
GO:0048179	5.884324691028012	1.3051947222117412e-06
GO:1990730	6.471320935920098	3.3781510457245067e-07
GO:0047736	4.854249223877942	1.398784386938744e-05
GO:0010791	6.717930311564191	1.9145631179749998e-07
GO:0018347	8.473805167236682	3.358882663114035e-09
GO:0051923	4.172731744295839	6.718437102760693e-05
GO:0055058	8.473805167236682	3.358882663114035e-09
GO:0048401	8.473805167236682	3.358882663114035e-09
GO:0039723	5.56105186356536	2.74756601842728e-06
GO:0060532	6.440381411749733	3.627593276163157e-07
GO:1904480	6.440381411749733	3.627593276163157e-07
GO:0072115	8.473805167236682	3.358882663114035e-09
GO:0075507	8.473805167236682	3.358882663114035e-09
GO:0004420	4.2292315841502806	5.898864439383214e-05
GO:0022840	5.603619174575195	2.4910407119707285e-06
GO:0014066	4.6805038136235675	2.08687379859275e-05
GO:0001194	8.473805167236682	3.358882663114035e-09
GO:0007608	3.276891501605535	0.0005285772880462663
GO:0047014	8.69878852600695	2.000835913229501e-09
GO:0001682	3.612874528595445	0.0002438515224594158
GO:0015026	4.806304346642262	1.5620525974582715e-05
GO:2000987	6.3700014462807255	4.265780982154824e-07
GO:0010776	8.473805167236682	3.358882663114035e-09
GO:0042055	8.473805167236682	3.358882663114035e-09
