workflow_name,update_time,software,image,description,to_do
optdntra,,,,,
Convert,,,,,
Alignment,,diamond,,,
,,blast,,,
,,orthofinder,,,
scDataget,260826,SoupX,,去除环境RNA,
,,scrublet,,去除双胞,
scCluster,260826,CHOIR,,随机森林分群,评价不同分群方法的好坏？scib-metrices的一些指标+预准备的marker基因
,,evaluation,,,
ClusterMarker,260826,FindAllMarkers(),,,
,,FindConservedMarkers(),,,
eggNOGmapper,260826,emapper.py,,,这个输出的基因注释可以添加到群特异基因里面，加上对应的拟南芥的基因ID和基因名似乎更好
GSEA,260826,clusterprofiler,,,分群用concat之后的展示，有对比上下调的绘制火山图加富集图
Anno_sctype,,,,,绘图非模式物种的展示
Anno_singler,,,,,
Anno_SAMap,,,,,
Anno_SATURN,,,,,
Anno_plot,,dotplot,,,
,,FeaturePlot,,,
,,AddModuleScore,,,
MetaNeighbor,260826,MetaNeighbor,,,
Integration_scIB,260826,scib-metrices,,,
DEA,,FindMarkers(),,,
,,@GSEA,,,
CEA,,,,,
TA,,,,,
GRN,,,,,
CCC,,,,,
Perturbation,,,,,
